"CONSTRUTEQ CONSTRUÇÕES
TERRAPLENAGENS E COMÉRCIO DE
EQUIPAMENTOS LTDA","CONSTRUTEQ CONSTRUÇÕES
TERRAPLENAGENS E COMÉRCIO DE
EQUIPAMENTOS LTDA","CONSTRUTEQ CONSTRUÇÕES
TERRAPLENAGENS E COMÉRCIO DE
EQUIPAMENTOS LTDA",37.991.338/0001-62,25/04/2023,"COMPANHIA URBANIZADORA DA NOVA
CAPITAL DO BRASIL",13/09/2023,Regular,Lei no 6.112/2018
CONSTRUTORA MARQUISE S/A,CONSTRUTORA MARQUISE S/A,CONSTRUTORA MARQUISE S/A,07.950.702/0001-85,16/11/2022,"SECRETARIA DE ESTADO DE OBRAS
E INFRAESTRUTURA DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
CONTARPP ENGENHARIA LTDA,CONTARPP ENGENHARIA LTDA,CONTARPP ENGENHARIA LTDA,26.412.148/0001-27,16/01/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"COSTA BRAVA PROJETOS E
CONSTRUÇÕES LTDA","COSTA BRAVA PROJETOS E
CONSTRUÇÕES LTDA","COSTA BRAVA PROJETOS E
CONSTRUÇÕES LTDA",37.843.570/0001-53,28/03/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
CS BRASIL FROTAS LTDA,CS BRASIL FROTAS LTDA,CS BRASIL FROTAS LTDA,27.595.780/0001-16,13/03/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
EB INFRA CONSTRUÇÕES LTDA,EB INFRA CONSTRUÇÕES LTDA,EB INFRA CONSTRUÇÕES LTDA,08.448.846/0001-09,24/02/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
ELSHADAY ENGENHARIA LTDA,ELSHADAY ENGENHARIA LTDA,ELSHADAY ENGENHARIA LTDA,03.374.268/0002-62,05/04/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
EXACT CLEAN SERVIÇOS LTDA,EXACT CLEAN SERVIÇOS LTDA,EXACT CLEAN SERVIÇOS LTDA,11.818.593/0001-14,14/09/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
G.C.E S/A,G.C.E S/A,G.C.E S/A,05.275.229/0001-52,25/04/2023,"CORPO DE BOMBEIROS MILITAR DO DISTRITO
FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"GOLDI SERVIÇOS E ADMINISTRAÇÃO
LTDA - EPP","GOLDI SERVIÇOS E ADMINISTRAÇÃO
LTDA - EPP","GOLDI SERVIÇOS E ADMINISTRAÇÃO
LTDA - EPP",20.217.208/0001-74,16/01/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
GLOBAL SERVIÇOS & COMERCIO LTDA,GLOBAL SERVIÇOS & COMERCIO LTDA,GLOBAL SERVIÇOS & COMERCIO LTDA,09.439.320/0001-17,06/01/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"HEPTA TECNOLOGIA E INFORMÁTICA
LTDA","HEPTA TECNOLOGIA E INFORMÁTICA
LTDA","HEPTA TECNOLOGIA E INFORMÁTICA
LTDA",37.057.387/0001-22,28/03/2023,POLÍCIA CIVIL DO DISTRITO FEDERAL,13/09/2023,Regular,Lei no 6.112/2018
"HELICÓPTEROS DO BRASIL S.A -
HELIBRAS","HELICÓPTEROS DO BRASIL S.A -
HELIBRAS","HELICÓPTEROS DO BRASIL S.A -
HELIBRAS",20.367.629/0001-81,23/01/2023,POLÍCIA CIVIL DO DISTRITO FEDERAL,26/06/2023,Regular,Lei no 6.112/2018
"HOLLUS SERVIÇOS TÉCNICOS
ESPECIALIZADOS LTDA","HOLLUS SERVIÇOS TÉCNICOS
ESPECIALIZADOS LTDA","HOLLUS SERVIÇOS TÉCNICOS
ESPECIALIZADOS LTDA",06.267.018/0001-30,05/04/2023,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
HL TERRAPLANAGEM LTDA,HL TERRAPLANAGEM LTDA,HL TERRAPLANAGEM LTDA,10.739.793/0001-19,06/01/2023,COMPANHIA IMOBILIÁRIA DE BRASÍLIA,11/07/2023,Regular,Lei no 6.112/2018
HL TERRAPLANAGEM LTDA,HL TERRAPLANAGEM LTDA,HL TERRAPLANAGEM LTDA,10.739.793/0001-19,06/01/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",11/07/2023,Regular,Lei no 6.112/2018
"HORT MINAS – BARBOSA & OLIVEIRA
COMÉRCIO DE
HORTIFRUTIGRANJEIROS LTDA","HORT MINAS – BARBOSA & OLIVEIRA
COMÉRCIO DE
HORTIFRUTIGRANJEIROS LTDA","HORT MINAS – BARBOSA & OLIVEIRA
COMÉRCIO DE
HORTIFRUTIGRANJEIROS LTDA",05.326.844/0001-40,02/03/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
